post,label
Earn ₹306/day from home! No experience needed!,spam
""" IÃ¢ÂÂll buy now, thank you""",not_spam
Lowest rates on personal loans. No PAN required. Apply now!,spam
Ã°ÂÂ¥Â³Looking forward to it,not_spam
"Having headache, cold and sneeze",not_spam
""" There are several requirements that need to be met to turn pure technical analysis into money. The first and most important is to determine when a trend begins or ends. The key to making money is to catch the trend as soon as possible. While this may seem easy in theory, making money consistently requires more work, skill and experience.""",not_spam
Happy Diwali! Hope you have a joyful and prosperous year ahead.,not_spam
Win a ticket worth ₹548! Take part in our contest: https://fraud-link.com,spam
Don’t forget to bring your Aadhaar card for the registration.,not_spam
Let’s catch up this weekend at CP?,not_spam
Reminder: Your LIC premium payment is due tomorrow at 10:30 AM.,not_spam
Win a jacket worth ₹769! Take part in our contest: https://fraud-link.com,spam
Hi team I will join 20 mins late .. today,not_spam
IÃ¢ÂÂve already sent you a private message,not_spam
"Hello Vi customer, Season of T20! Participate in Vi Play Along, Win a motor bike, smartwatch and much more. Simply Click https://bit.ly/ViPAG",spam
Good morning The tech stocks in the US market really showed their strength as expected,not_spam
URGENT: Your SBI account will be suspended. Log in now at http://promo.clicknow,spam
Congratulations! You've won a jacket. Click here to claim: http://promo.clicknow,spam
"Hey, are we still going to the chai spot near college today?",not_spam
Let’s catch up this weekend at CP?,not_spam
Please check the WhatsApp group for the latest college fest update.,not_spam
The inflation data released on Wednesday has already shown signs of weakening,not_spam
Please check the WhatsApp group for the latest college fest update.,not_spam
It's good and I am able to work since 15mins,not_spam
Done kk,not_spam
Then local admin should help you please someone help Jerold opening an it ticket,not_spam
Don't miss out on FREE 2GB Data! Download and register on Airtel Thanks App today. T&C Claim now : i.airtel.in/2gb_rc14,spam
Earn ₹139/day from home! No experience needed!,spam
Lowest rates on credit cards. No PAN required. Apply now!,spam
FRESH WEDNESDAY@STAR Varmahalakshmi Special Offer: Coconut@18/Pc Sweet Lime@29/Kg Banana Yellaki@79/Kg Apple Shimla@99/Pk More: bit.ly/3OMdrju T&C,spam
Ok Ranjit,not_spam
Yes the trend is consistently upward After all we're making a profit,not_spam
Reminder: Your LIC premium payment is due tomorrow at 2:15 PM.,not_spam
URGENT: Your SBI account will be suspended. Log in now at http://promo.clicknow,spam
Your Swiggy order is on the way. Tracking ID: 6906966081.,not_spam
Pre-approved for a ₹903 loan. Apply instantly!,spam
"Your A/c can be credited with Rs.3,99,999* Instant transfer..! Secure and hassle-free Loan. Apply now: a0n.in/s/jBq0k3F8ud T&C*",spam
"Congratulations!On your Digital Recharge,additional 5GB Data credited for 28 Days.Enjoy FREE Movies, Shows, News click bit.ly/35crrjt",spam
Your Swiggy order is on the way. Tracking ID: 9775257305.,not_spam
Real estate and metals sectors remain relatively strong,not_spam
END OF SEASON SALE at Lenskart! Upto 50% OFF + BUY1GET1 FREE with Gold membership! Limited Period Offer. TnC Apply Nearest Store lskt.me/u4,spam
Limited period offer: Get up to 24% cashback on Paytm.,spam
Act now! Flipkart Big Sale ends soon. Shop here: http://bit.ly/winner,spam
Free Data time on Vi. All surfing & browsing between 12midnight & 6am on your pack is FREE. Enjoy Data non-stop!Dial *199# or click bit.ly/GetViApp for details,spam
Lenskart Online Mega Sale: Buy1Get1 FREE + Upto 40% Off on Eye & Sunglasses! Fresh Stocks Added.TnC Shop lskt.me/MegaSale,spam
Don’t forget to bring your Aadhaar card for the registration.,not_spam
It didn't really make much of a difference so maybe the market will still go up tomorrow,not_spam
7 days left to save your Insider membership It was a pleasure having you as an Insider & we'd like that to continue Click to know more http://smsd.in/bl2mKc9UT,spam
?This message was deleted.,not_spam
Happy Diwali! Hope you have a joyful and prosperous year ahead.,not_spam
Win a jacket worth ₹781! Take part in our contest: http://bit.ly/winner,spam
Pre-approved for a ₹866 loan. Apply instantly!,spam
Earn ₹681/day from home! No experience needed!,spam
Let’s catch up this weekend at CP?,not_spam
Thank you I'll buy in now,not_spam
Limited period offer: Get up to 70% cashback on Paytm.,spam
All the best for your GATE exam tomorrow!,not_spam
3787 is the OTP to access Tipplr eQ/zPj8f0h3,spam
I got Network issue,not_spam
Meeting with HR has been shifted to 10:30 AM. Please check.,not_spam
"Dear Customer, Rs.500 to 10 lucky winners & Rs.50 to 1,000 Early Birds as STAR Clubcard points! To share your feedback, click https://bit.ly/3yvjBQB T&C",spam
Earn ₹889/day from home! No experience needed!,spam
Final notice: Pay your phone bill to avoid service disruption.,spam
Pre-approved for a ₹534 loan. Apply instantly!,spam
Happy Diwali! Hope you have a joyful and prosperous year ahead.,not_spam
Learned,not_spam
Happy Diwali! Hope you have a joyful and prosperous year ahead.,not_spam
Good for next time ????,not_spam
A downturn is also a good buying opportunity,not_spam
Act now! Flipkart Big Sale ends soon. Shop here: https://scamoffers.net,spam
Can you send the class notes from today’s lecture?,not_spam
"Dear Customer, Exclusive Offer! Get 5% Unlimited Cashback with Flipkart Axis Bank Credit Card. Apply now for a Rs.1000* Gift Card> http://fkrt.it/Y4frc9NNNN",spam
Limited period offer: Get up to 74% cashback on Paytm.,spam
Now we can access teams / skype and central,not_spam
""" The BSE midcap index ended flat, while the smallcap index was up 0.5 per cent.""",not_spam
Don’t forget to bring your Aadhaar card for the registration.,not_spam
Limited period offer: Get up to 11% cashback on Paytm.,spam
Please check the WhatsApp group for the latest college fest update.,not_spam
"Team,",not_spam
"Enjoy unlimited Local, STD & Roaming calls on any network, daily 1GB & 100 SMS. Pack Valid for 24 daysAlso get FREE Wynk Music and Hellotuneff and best recharges on Airtel Thanks App. Refer your friends to Airtel & earn Rs100 coupon i.airtel.in/ref",spam
CONGRATULATIONS! FREE 2GB is yours! Claim on Airtel Thanks App Now. Hurry i.airtel.in/2GB_FR,spam
"LAST DAY TODAY of Shoppers Stop First Citizen SALE PREVIEW Dont miss to shop your favorite Watches & more at Upto 60% Off. Walk in to our store at Bannerghatta, 11:00AM to 9:30PM or shop at bit.ly/SS_Wtch Bank offers/details- bit.ly/SSPrwTC .T&C",spam
"Best offers for you 1 359=UL CL 2.5GB/D,1M 2 719=UL CL 1.5GB/D,84D 3 479=UL CL 1.5GB/D,56D 4 299=UL call 2GB/D,28D 5 779=UL CL 1.5GB/D,90D 6 549=ULCL 2GB/D,56D 7 839=UL call 2GB/D,84D 8 2999=UL CL 2GB/D, 1Y 9 3359=UL CL 2.5GB/D,1Y To check your balance, validity, call tariff and best recharges, dial *121*51# or download Airtel Thanks App, click www.airtel.in/5/LBNV",spam
Exclusive deal on your mobile recharge. Visit http://promo.clicknow now!,spam
Rs.250 credited as unconditional FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store.Valid till 21st Mar 2021. TnC: bit.ly/3eNrGpI,spam
"Mr. Vijay, don't blame yourself. Losses are inevitable. I believe that after this adjustment, you will lead us to make a lot of money, just like every time we fell before, we will always win.",not_spam
"Missing out on uninterrupted music & trendiest songs? Grab Wynk Premium at just Rs49 and enjoy unlimited ad-free music, song downloads & hellotunes. Upgrade Now. Click here open.wynk.in/Getnow8",spam
Hi all,not_spam
Exclusive deal on your mobile recharge. Visit https://fraud-link.com now!,spam
"18+ OTT COMBO for FREE! Unlock your EXCLUSIVE DEAL with Xstream Entertainment festival. Chance to WIN OTTs worth Rs2100! To know more, visit Airtel Thanks App, Tnc apply open.airtelxstream.in/e/XEF-SMS",spam
Limited period offer: Get up to 16% cashback on Paytm.,spam
Act now! Flipkart Big Sale ends soon. Shop here: http://bit.ly/winner,spam
Lowest rates on personal loans. No PAN required. Apply now!,spam
URGENT: Your SBI account will be suspended. Log in now at http://bit.ly/winner,spam
Your Swiggy order is on the way. Tracking ID: 4907499326.,not_spam
"Hey, are we still going to the chai spot near college today?",not_spam
Running out of Data this cricket season? Vi ensures you watch non-stop T20 action with Rs 98 recharge - get 12 GB Data for 28 Days! Click bit.ly/ViDataRC2,spam
Please check the WhatsApp group for the latest college fest update.,not_spam
Limited period offer: Get up to 38% cashback on Paytm.,spam
"Rs 500 cashback + 1 year FREE subscription of Amazon Prime & Disney+Hotstar + FREE 30 days of Broadband. Switch to Airtel Black now, click i.airtel.in/blackPreDSL or call us at 8826655555",spam
All the best for your GATE exam tomorrow!,not_spam
"Dear customer, Thank you for shopping with RnBIndia, Please click the link to view your e-bill https://rnb.karnival.in/az/rnPBIX1i0zKLaik5?ch=1",spam
Yes the market rally failed today due to the allegations in the Hindenburg reportÃ°ÂÂÂ,not_spam
You're just 1 step away from FREE router! Get Airtel Xstream Fiber & enjoy up to 1 Gbps speeds on all your devices! Plans starting at just Rs 499! i.airtel.in/Exclusiveoffer,spam
Win a ticket worth ₹742! Take part in our contest: http://bit.ly/winner,spam
And we are have heavy rain and lightning and wind storm here in our area,not_spam
Earn ₹806/day from home! No experience needed!,spam
Don’t forget to bring your Aadhaar card for the registration.,not_spam
Win a ticket worth ₹936! Take part in our contest: http://bit.ly/winner,spam
Happy Diwali! Hope you have a joyful and prosperous year ahead.,not_spam
URGENT: Your SBI account will be suspended. Log in now at http://promo.clicknow,spam
Reminder: Your LIC premium payment is due tomorrow at 3:00 PM.,not_spam
"Biggest Diwali Offers@ VISHAL Vegetable Chopper(Mrp599) 70% OFF-Rs179 ONLY TODAY + FREE-VIP Trolley,Duffle Bag + 7.5% SBI Cashback TnC",spam
How to solve these problemsÃ¢ÂÂ,not_spam
Congratulations! You've won a ticket. Click here to claim: https://fraud-link.com,spam
"Update! Dear User, your application is pending. Click now http://m.BajFin.in/OZQQ9_uA to complete & get Insta EMI Card. Bajaj Finance Ltd",spam
Ã°ÂÂÂÃ°ÂÂÂThank you,not_spam
4-3-2-1 DASH to shoppersstop.com Get your hands on Best Brands & Best Deals this weekend. Shop Safe click bit.ly/SS_DASH Claim coupon ATV31M & get surprise. TnC,spam
"Recently, the bank stocks have been quite weak and haven't shown any signs of improvement",not_spam
Your Swiggy order is on the way. Tracking ID: 7268101136.,not_spam
"Data Alert! 83.59MB left on Data pack, post which std. charges apply or lower speeds as per plan. Click bit.ly/ViDataRC or dial *121# to buy a Data pack.",spam
Win a jacket worth ₹904! Take part in our contest: http://bit.ly/winner,spam
"Yes, some of you may have guessed it. This is one of the three strong stocks that I recommended before that meet the MACD and Bollinger Bands buying techniques. It is also a low-priced stock with a relatively small market value. This afternoon, the stock price has begun to rise, which is a strong buy signalÃ¢ÂÂ",not_spam
"Nifty is likely to rise before the opening in the morning today, which is good news. Let us witness whether there will be a ""festival effect"" in the stock market today Ã°ÂÂÂÃ¢ÂÂÃ°ÂÂÂ¨",not_spam
Happy Diwali! Hope you have a joyful and prosperous year ahead.,not_spam
Please check the WhatsApp group for the latest college fest update.,not_spam
Which stock we r talking about,not_spam
"Congratulations, Amount of Rs.44,OOO/- is credited t0 your wallet Acc XX7O 0n 27 Aug. Instantly Withdraw N0w OI1.in/2sk0ko!8cpr814",spam
Exclusive deal on your mobile recharge. Visit https://fraud-link.com now!,spam
""" Due to escalating geopolitical tensions, particularly the intensifying conflict between Israel and Iran, the situation has further worsened. As a result, foreign investors have also reduced their risk exposure. Additionally, given the high valuations in the domestic market, foreign investors are motivated to take profits. Weak employment data, increasing concerns about a U.S. economic recession, and uncertainty regarding the timing of rate cuts have also contributed to the withdrawal from the domestic market.""",not_spam
Pinged on teams can u please chk it kk,not_spam
Limited period offer: Get up to 62% cashback on Paytm.,spam
"You can Watch John Wick 4 for FREE!! #GrabTheLoOTT and unlock your EXCLUSIVE DEAL. Get a chance to get 18+ OTTs free with Xstream Entertainment festival. To know more, visit Airtel Thanks App, Tnc apply https://open.airtelxstream.in/e/XEF-SMS",spam
My laptop is not swiching on...So i may not be available,not_spam
Congratulations! You've won a passport. Click here to claim: https://scamoffers.net,spam
Reminder: Your LIC premium payment is due tomorrow at 2:15 PM.,not_spam
Earn ₹543/day from home! No experience needed!,spam
I set an automatic sell at 115,not_spam
Pre-approved for a ₹960 loan. Apply instantly!,spam
Exclusive deal on your mobile recharge. Visit http://promo.clicknow now!,spam
Limited period offer: Get up to 34% cashback on Paytm.,spam
Pre-approved for a ₹839 loan. Apply instantly!,spam
"Riya should be very busy. She helps Professor Sohan Sharma deal with many work matters every day, and then helps friends in the group analyze stocks. But she has no complaints and is very responsible. I think she will definitely reply to you when she is done.",not_spam
Your Swiggy order is on the way. Tracking ID: 6517435134.,not_spam
Earn ₹629/day from home! No experience needed!,spam
Hello Your Unlimited pack MRP is expiring on2021-10-29 00:00:00.Now recharge from home with App Click http://bit.ly/GetMVA4,spam
Your Swiggy order is on the way. Tracking ID: 3282456292.,not_spam
"Hi! Presenting the all New Chat-Bot Service, Our Artificially intelligent chat bot will assist you anytime anywhere just by a simple click Bit.ly/3kluDkv",spam
Meeting with HR has been shifted to 2:15 PM. Please check.,not_spam
Exclusive deal on your mobile recharge. Visit https://fraud-link.com now!,spam
"Dear Customer, enjoy free online transactions and many more features with your Kotak811 digital savings account. Apply now: https://kotk.in/ePQBER -KBank",spam
Ok,not_spam
Earn ₹419/day from home! No experience needed!,spam
"Tickets Booked! Download your M-ticket from https://bmsurl.co/ls9UEXZKXB and show it at the venue entrance to scan and enter. Here is your Booking ID - WHSTD4K for One (U) on Fri, 26 Mar, 2021 09:50pm, at PVR: Vega City, Bannerghatta Road(AUDI 08), Seats: CLASSIC. - F5, F6, F7 Please note that you don't require physical tickets to enter the venue. Don't go hungry! Click here to pre-book your meal: https://bmsurl.co/UgWm90u7Za This transaction can be cancelled up to 20 min(s) before the show as per cinema cancellation policy. In view of the Covid-19 situation, please follow these safety guidelines: bmsurl.co/TLUlJ3uunN",spam
"Hey, are we still going to the chai spot near college today?",not_spam
Earn ₹251/day from home! No experience needed!,spam
All the best for your GATE exam tomorrow!,not_spam
"Dear Customer, Rs. 10,000* Welcome Cash is credited to your acc. XXX233 Download & Claim Now: http://p6x.in/srBaqC Click-Games",spam
Lowest rates on credit cards. No PAN required. Apply now!,spam
Final notice: Pay your phone bill to avoid service disruption.,spam
Congratulations! You've won a passport. Click here to claim: https://scamoffers.net,spam
Yes seizing opportunities is crucial,not_spam
Surprisingly all are admins except I ???????? is there any reason for that ?,not_spam
Exclusive deal on your mobile recharge. Visit https://fraud-link.com now!,spam
All the best for your GATE exam tomorrow!,not_spam
"Hey, are we still going to the chai spot near college today?",not_spam
"Hi , Vivo T2 5G at Rs.15,499 + Extra Rs.500 off for you on Tata Neu! Get 5% NeuCoins! Hurry, offer ends soon! T&C apply https://tneu.in/uG85yeBO",spam
I like penny stocks,not_spam
Act now! Flipkart Big Sale ends soon. Shop here: http://bit.ly/winner,spam
URGENT: Your SBI account will be suspended. Log in now at https://fraud-link.com,spam
Happy Diwali to all,not_spam
Come back to Lenskart & Avail SPECIAL Holi Offers +50% Cashback - Buy1Get1 with Gold Membership - 2Adult+2Kids at Rs.4000 - Lens upgrade starting Rs.1250 TnC,spam
Worried about home security while you're away? Get Airtel Xsafe with real-time alerts for person/motion detection. Book now to enjoy FREE installation and travel worry-free! i.airtel.in/PreEye,spam
I don't plan to sell at the moment. Thank you,not_spam
Happy Diwali! Hope you have a joyful and prosperous year ahead.,not_spam
Can you send the class notes from today’s lecture?,not_spam
URGENT: Your SBI account will be suspended. Log in now at http://promo.clicknow,spam
Laptop KK,not_spam
Don’t forget to bring your Aadhaar card for the registration.,not_spam
Happy New Year to all,not_spam
Pre-approved for a ₹799 loan. Apply instantly!,spam
"Wednesday Bonus@JioMart,Bangalore!Onion Rs 37/Kg,Cucumber Rs 21/Kg,Banana Yellaki 12Pc Pk Rs 42/Kg,Also at SMART &SMART Point store bit.ly/3p9qmRT 1Dec,TC",spam
"Alert! Your Unlimited pack is expiring on 25/11/21. Recharge with 1)299:4GB/D+UL,28D 2)449:4GB/D+UL,56D 3)699:4GB/D+UL,84D Click bit.ly/ViRC20",spam
Will loin in 2-3 mins,not_spam
Win a jacket worth ₹650! Take part in our contest: https://fraud-link.com,spam
Anyways I am going.. I thought it good to learn for this project and their future support,not_spam
Lowest rates on insurance. No PAN required. Apply now!,spam
Facing issue with laptop. Rebooting it,not_spam
????????????????? ?? ????? ??????!!! 299=1.5 GB/Day+Free Calls 28 Days 479=1.5 GB/Day+Free Calls 56 Days. ??????? ??????? ??? ?? ????? ??????? ?????? Click http://bit.ly/ViRC20,spam
"The reason why the stock market did not ""sprint"" today",not_spam
Lowest rates on credit cards. No PAN required. Apply now!,spam
Earn ₹720/day from home! No experience needed!,spam
URGENT: Your SBI account will be suspended. Log in now at https://scamoffers.net,spam
Please check the WhatsApp group for the latest college fest update.,not_spam
Ok good,not_spam
Final notice: Pay your electricity bill to avoid service disruption.,spam
LAST 6 DAYS!! Your Greencard offer LAPSES on 04 Aug! Don't MISS - Shop at any Pantaloons store for Rs 2000 & get a Rs 500 cashback TC. Cashback as reward points,spam
Final notice: Pay your subscription to avoid service disruption.,spam
Happy Diwali! Hope you have a joyful and prosperous year ahead.,not_spam
Pre-approved for a ₹155 loan. Apply instantly!,spam
Final notice: Pay your phone bill to avoid service disruption.,spam
Limited period offer: Get up to 88% cashback on Paytm.,spam
market reaches 24550 level now ll so we can expect something mew popping up on this weekend to keep market range bound in aug ll technicals shows market will be in range bound for aug ll so we can consider current level as resistance for recent term,not_spam
Hi Team,not_spam
Exclusive deal on your mobile recharge. Visit http://bit.ly/winner now!,spam
"If it weren't for the XAI International Securities Trading Competition, I don't think we would be here. I have made all preparations to win this competition.",not_spam
"Biggest Diwali Offers@ VISHAL DryFruit Gift Pack(Mrp479) 60%OFF-Rs192 ONLY TODAY! + FREE-VIP Trolley,Duffle Bag + 7.5% SBI Cashback TnC",spam
Rithika this is acknowledged,not_spam
"Today is Friday, the last trading day of the week. Will the professor recommend any stocks today? ItÃ¢ÂÂs been three days without making any trades",not_spam
Limited period offer: Get up to 79% cashback on Paytm.,spam
"Thanks Ms. Rama, I already know the stock name...As far as I know, its subsidiary opened a nano urea plant early this month, and the profit in the fourth quarter is likely to increase",not_spam
"2/2 Roaming calls, 1.5GB/day data and 100 SMS. Pack valid for 84 days. UNLIMITED 5G data over & above your plan limit, claim on Airtel Thanks App.",spam
Earn ₹155/day from home! No experience needed!,spam
Should the price touch the retracement levels?,not_spam
""" Can NIFTY hold on to 24,000 points? Does this mean our chance has come?""",not_spam
"BLOCK YOUR DATES: 20th to 22nd Dec The Pantaloons GREENCARD Exclusive SUBKUCH ON SALE (SOS) is back & you're invited!! 3 days of min 30% OFF on EVERYTHING, going upto 60% OFF + Bank & Wallet offers YOU JUST CANT MISS IT!! For details, click tltx.in/oOoC2 See you on 20th at Pantaloons OnLoop! T&C",spam
"3 days left for 8089XXX424 expiry! Get 1.5GB/day, UL calls,28 days for Rs239 i.airtel.in/Best-offer",spam
Pre-approved for a ₹854 loan. Apply instantly!,spam
"Hi there, you are successfully registered on KreditBee. Submit your loan application for quick funds from KBNBFC. T&Cs apply. https://a.krdt.be/02Je/crm",spam
????????????,not_spam
"COUPON ALERT! Now get assured Rs100 coupon on your next recharge. Invite your friends to Airtel today & get rewarded, TnC. Click i.airtel.in/prepaid-referral",spam
"Wednesday Bonus at SMART Point Store,Bangalore! Onion Rs 36/Kg,Cucumber Rs 20/Kg,Sapota Rs 39/Kg,valid on 15 Dec,Click bit.ly/3II77I3 T&C",spam
"While receiving any international call, if an Indian number or no number is displayed on your phone, kindly inform on the DoT toll-free number 1800110420/1963.",spam
Lowest rates on personal loans. No PAN required. Apply now!,spam
All the best for your GATE exam tomorrow!,not_spam
Can you send the class notes from today’s lecture?,not_spam
"Its MY SALE MY WAY at shoppersstop.com Enjoy upto 50% OFF + Use Code ATV25 & get Rs.250 off on Rs.2500 & Rs.500 off on Rs.4000 Click bit.ly/SS_com to shop for your favourite brands in Apparel, Footwear & Accessories + Get offers on First Citizen Citi credit card & HDFC Bank cards bit.ly/SSEssTC T&C apply",spam
"As part of National Cyber Security Awareness Month ( October 2021), CERT-In Gol advises you to keep your digital devices bot free. Get free bot removal tool at https://www.csk.gov.in/",spam
All the best for your GATE exam tomorrow!,not_spam
I will try through mobile,not_spam
Good evening sir,not_spam
All the best for your GATE exam tomorrow!,not_spam
"Unfold your world! Pre-book the Galaxy Z Fold3 | Flip3 5G, get upto Rs7000 cashback or Upgrade Bonus & Free 1 yr Samsung care+.TnC. rml.fm/TYfPZpaa - Samsung",spam
URGENT: Your SBI account will be suspended. Log in now at https://scamoffers.net,spam
URGENT: Your SBI account will be suspended. Log in now at https://scamoffers.net,spam
Rs.250 credited as FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store. Valid till 18th Apr 2021. Click bit.ly/3mGelS6 for TnC,spam
Happy Diwali! Hope you have a joyful and prosperous year ahead.,not_spam
Please check the WhatsApp group for the latest college fest update.,not_spam
Watch Election news LIVE in your mobile with Vi!Download Vi Movies and TV app and watch popular Malayalam news Channels FREE of cost. Click bit.ly/Vi-Newsm2,spam
Let's wait,not_spam
"Hey, are we still going to the chai spot near college today?",not_spam
Limited period offer: Get up to 71% cashback on Paytm.,spam
"Hey, are we still going to the chai spot near college today?",not_spam
"Hi, Now you can check your balance by simply clicking wa.me/919654297000?text=balance enjoy our services on WhatsApp!",spam
LaLiga is here! Watch LIVE football matches on Vi Movies & TV app! Kickstart your weekend with pure football magic! Click bit.ly/Vi-moviess1,spam
Reminder: Your LIC premium payment is due tomorrow at 10:30 AM.,not_spam
"Ã°ÂÂÂFrom last week till now, I have shared 3 candlestick patterns with you. Through these candlestick patterns, we can more easily find the buying and selling points of stocksÃ°ÂÂÂÃ¢ÂÂ",not_spam
"The stock price has started to soar, I set a price of 91 to buy",not_spam
"Continue to hold, the master will analyze it in detail for you and I will inform youÃ°ÂÂÂ",not_spam
Ok,not_spam
Happy Diwali! Hope you have a joyful and prosperous year ahead.,not_spam
Final notice: Pay your subscription to avoid service disruption.,spam
Lowest rates on credit cards. No PAN required. Apply now!,spam
I made a 15% profit Thank you Professor,not_spam
"Indeed, understanding the characteristics and risks of various investment products is very important, but not all products need to be participated in",not_spam
Let’s catch up this weekend at CP?,not_spam
"Biggest Diwali Offers@ VISHAL MEGA MART Namkeen 150g(Mrp 45+) 50% OFF ONLY TODAY! + FREE -VIP Trolley,Duffle Bag + 7.5% SBI Cashback TnC",spam
Enjoy big savings. Get up to Rs.5 Lakh Olyv (formerly SmartCoin) loan at an insane 50% off on proc. fees! Apply now - u3.mnge.co/2gvlno2 T&C,spam
+916232014309.vcf (file attached),not_spam
Then itÂs not blocked as far as I understand,not_spam
Pre-approved for a ₹693 loan. Apply instantly!,spam
Lowest rates on credit cards. No PAN required. Apply now!,spam
Please check the WhatsApp group for the latest college fest update.,not_spam
The trading volume is likely to increase towards the end of the session,not_spam
Outlook for August 16,not_spam
End Of Reason Sale welcomes you with 50-80% Off Offer valid on beauty & personal care Extra 15% Off on 1st order! Buy now http://smsd.in/bgXG5qNst,spam
Rebooting,not_spam
????,not_spam
Earn ₹867/day from home! No experience needed!,spam
Limited period offer: Get up to 83% cashback on Paytm.,spam
Limited period offer: Get up to 13% cashback on Paytm.,spam
"1 year FREE subscription of Amazon Prime & Disney+Hotstar + FREE 30 days on Airtel Xstream Fiber + Rs 500 cashback. Switch to Airtel Black now, click i.airtel.in/blackPreDSL",spam
Win a ticket worth ₹559! Take part in our contest: http://bit.ly/winner,spam
Final notice: Pay your phone bill to avoid service disruption.,spam
Okay Jerold,not_spam
Limited period offer: Get up to 12% cashback on Paytm.,spam
"The stock market is in a downward trend, and undervalued stocks are more likely to riseÃ°ÂÂÂ",not_spam
Meeting with HR has been shifted to 3:00 PM. Please check.,not_spam
I requested everyone to join all 3 shift people,not_spam
Limited period offer: Get up to 10% cashback on Paytm.,spam
Limited period offer: Get up to 69% cashback on Paytm.,spam
Exclusive Offer For You!! Extra 15% OFF on Your First Purchase on Select Fashion. Shop Now > http://fkrt.it/ojWHTbuuuN,spam
And pulse,not_spam
Restarting my laptop,not_spam
Your Swiggy order is on the way. Tracking ID: 2257530442.,not_spam
Final notice: Pay your phone bill to avoid service disruption.,spam
Pre-approved for a ₹810 loan. Apply instantly!,spam
Final notice: Pay your electricity bill to avoid service disruption.,spam
"Hey, are we still going to the chai spot near college today?",not_spam
"Hey, are we still going to the chai spot near college today?",not_spam
"Will connect back, having network issue",not_spam
Win a ticket worth ₹144! Take part in our contest: http://promo.clicknow,spam
Lenskart Diwali Sale is still On! Buy 1 Get 1 Free plus upto 40% Off on your favorite styles. TnC Shop at lskt.me/z4 or Visit your nearest store lskt.me/u4 now!,spam
Hello! Now you can Check your balance by simply click wa.me/919654297000?text=balance,spam
"You've earned FREE Airtel Thanks Rewards like Amazon Prime Video with your last recharge, claim them on the App now, TnC Apply i.airtel.in/thanks-rewards",spam
Ok,not_spam
All the best for your GATE exam tomorrow!,not_spam
Lowest rates on credit cards. No PAN required. Apply now!,spam
+918979018080.vcf (file attached),not_spam
I have a power cut in my society,not_spam
Can you send the class notes from today’s lecture?,not_spam
"Dear 901969xxxx, Rs.38,OOO/- is Added t0 your wallet account XXX6 0n 29 Aug. Directly Withdraw N0w OI1.in/2vclen!8cpr814",spam
https,not_spam
"Hey, are we still going to the chai spot near college today?",not_spam
Congratulations!Rs20 CASHBACK coupon credited to your Vi App bit.ly/ViRchg9 .Login with mob no. to claim. Available for 30 days on UL Daily Data packs of Rs249+,spam
Exclusive deal on your mobile recharge. Visit https://fraud-link.com now!,spam
Meeting with HR has been shifted to 10:30 AM. Please check.,not_spam
I will take a break and rejoin,not_spam
Don’t forget to bring your Aadhaar card for the registration.,not_spam
All the best for your GATE exam tomorrow!,not_spam
Act now! Flipkart Big Sale ends soon. Shop here: http://bit.ly/winner,spam
Win a passport worth ₹726! Take part in our contest: http://bit.ly/winner,spam
Exclusive deal on your mobile recharge. Visit https://scamoffers.net now!,spam
Lowest rates on insurance. No PAN required. Apply now!,spam
""" Good evening everyone. Today is India's Independence Day. Let's celebrate this great day together! This is a moment full of glory and hope. Looking back, we are proud of the extraordinary achievements our country has made; looking forward, we are full of confidence in the prosperity and development of our motherland. No matter where you are, let's remember the glorious journey of Independence Day together and wish our country to continue to move towards a brighter future in the future!""",not_spam
SAU site..,not_spam
It's the start of a new week,not_spam
Top trending callertunes for your callers. Just download Vi Callertune APP and set your callertune. Click bit.ly/APP-CT,spam
Limited period offer: Get up to 66% cashback on Paytm.,spam
Final notice: Pay your electricity bill to avoid service disruption.,spam
Earn ₹672/day from home! No experience needed!,spam
"Friends who want to know more about the competition and my personal resume can leave a message with my assistant Rama and confirm. Next, I will share new investment tips, please start reading hereÃ°ÂÂÂ»",not_spam
Team,not_spam
Lowest rates on insurance. No PAN required. Apply now!,spam
"Wednesday Bonus@JioMart,Bangalore!Onion Rs 41/Kg,Sweet Corn Rs 8/Pc,Banana Robusta Box (6Pc) Rs 29,Also at SMART &SMART Point store bit.ly/3ESiOJm 10Nov,TC",spam
Pre-approved for a ₹971 loan. Apply instantly!,spam
Unlimited 5G data + 22 OTTs = Airtel Prepaid SIM! Order your SIM & enjoy home delivery at no extra cost. Click i.airtel.in/getprepaid7 T&C Apply.,spam
Happy Diwali! Hope you have a joyful and prosperous year ahead.,not_spam
Congratulations! You've won a ticket. Click here to claim: https://scamoffers.net,spam
"Dear we can offer you to work online & earn 8000-20000/day according to your performance, no time limit, contact: https://wa.me/919678462191 BBKUMR",spam
Final notice: Pay your electricity bill to avoid service disruption.,spam
Limited period offer: Get up to 81% cashback on Paytm.,spam
Pre-approved for a ₹373 loan. Apply instantly!,spam
Joined,not_spam
"Amazon Prime, SonyLiv & 15+ other OTTs are now YOURS! Book Airtel Xstream TV Box at just Rs 1500 today! Click to get i.airtel.in/XstreamIntent",spam
Exclusive deal on your mobile recharge. Visit https://fraud-link.com now!,spam
Good evening everyoneÃ°ÂÂÂÃ°ÂÂÂ¼,not_spam
